DEBUG 2019-12-19 12:37:24,853 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Authorization.Users.User, Id:1
WARN  2019-12-19 12:37:26,310 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:37:26,310 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:37:26,352 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:37:26,438 [6    ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 504.466ms
INFO  2019-12-19 12:37:26,464 [6    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:37:26,512 [6    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 756.7096ms 200 application/x-javascript
INFO  2019-12-19 12:37:26,525 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 210.234ms 404 
INFO  2019-12-19 12:37:26,536 [10   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:26,594 [10   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 710.0488ms
INFO  2019-12-19 12:37:26,604 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:37:26,670 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 896.7026ms 200 application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:26,701 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 POST http://localhost:62114/signalr/negotiate text/plain;charset=UTF-8 0
INFO  2019-12-19 12:37:26,739 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:26,792 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:26,812 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 117.9652ms 200 application/json
INFO  2019-12-19 12:37:27,126 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/signalr?id=pUwR_n8R_j8gzJbV4N-dOg  
INFO  2019-12-19 12:37:27,163 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr'
DEBUG 2019-12-19 12:37:27,396 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is connected: {"ConnectionId":"pUwR_n8R_j8gzJbV4N-dOg","IpAddress":"::1","TenantId":null,"UserId":1,"ConnectTime":"2019-12-19T12:37:27.3674343+05:30","Properties":{}}
DEBUG 2019-12-19 12:37:27,431 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is registered: pUwR_n8R_j8gzJbV4N-dOg
DEBUG 2019-12-19 12:37:29,846 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:34,863 [20   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:39,891 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
DEBUG 2019-12-19 12:37:44,911 [10   ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
INFO  2019-12-19 12:37:46,847 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Order/CreateOrder  
INFO  2019-12-19 12:37:46,868 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:46,877 [4    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "CreateOrder", controller = "Order", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult CreateOrder() on controller Shopping_Card.Web.Controllers.OrderController (Shopping_Card.Web.Mvc).
DEBUG 2019-12-19 12:37:49,190 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Customer, Id:1
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Customer, Id:2
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Product, Id:1
DEBUG 2019-12-19 12:37:49,191 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Product, Id:2
INFO  2019-12-19 12:37:49,218 [5    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view CreateOrder.
DEBUG 2019-12-19 12:37:49,341 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Authorization.Users.User, Id:1
WARN  2019-12-19 12:37:49,361 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:37:49,363 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:37:49,401 [4    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view CreateOrder executed in 184.2631ms.
INFO  2019-12-19 12:37:49,408 [4    ] c.Infrastructure.ControllerActionInvoker - Executed action Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc) in 2525.2521ms
INFO  2019-12-19 12:37:49,411 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:49,459 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 2590.3855ms 200 text/html; charset=utf-8
DEBUG 2019-12-19 12:37:49,497 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is disconnected: pUwR_n8R_j8gzJbV4N-dOg
INFO  2019-12-19 12:37:49,519 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/JavaScript/LoadProduct.js  
INFO  2019-12-19 12:37:49,525 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/JavaScript/Order.js  
INFO  2019-12-19 12:37:49,550 [8    ] NetCore.StaticFiles.StaticFileMiddleware - The file /JavaScript/LoadProduct.js was not modified
INFO  2019-12-19 12:37:49,566 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr'
INFO  2019-12-19 12:37:49,567 [20   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:37:49,600 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637123558208728427  
INFO  2019-12-19 12:37:49,628 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637123558208728427  
INFO  2019-12-19 12:37:49,659 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 22520.6604ms 101 
INFO  2019-12-19 12:37:49,663 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,669 [20   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 50.998ms 404 
INFO  2019-12-19 12:37:49,673 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/JavaScript/Order.js'. Physical path: 'D:\InexisProject\5.0.0\aspnet-core\src\Shopping_Card.Web.Mvc\wwwroot\JavaScript\Order.js'
INFO  2019-12-19 12:37:49,678 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 154.4665ms 200 application/javascript
INFO  2019-12-19 12:37:49,685 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 132.9619ms 304 application/javascript
INFO  2019-12-19 12:37:49,689 [12   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ContentResult GetAll(Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) on controller Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController (Abp.AspNetCore).
INFO  2019-12-19 12:37:49,694 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,707 [10   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetScripts(System.String, Boolean) on controller Abp.AspNetCore.Mvc.Controllers.AbpScriptsController (Abp.AspNetCore).
INFO  2019-12-19 12:37:49,724 [12   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2019-12-19 12:37:49,738 [12   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 37.0306ms
WARN  2019-12-19 12:37:49,749 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:37:49,751 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:37:49,758 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,767 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 195.8887ms 200 application/x-javascript
INFO  2019-12-19 12:37:49,789 [10   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:49,802 [10   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 80.1892ms
INFO  2019-12-19 12:37:49,806 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,811 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 233.0056ms 200 application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:49,822 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:37:49,876 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 13.9436ms 404 
INFO  2019-12-19 12:37:49,882 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 POST http://localhost:62114/signalr/negotiate text/plain;charset=UTF-8 0
INFO  2019-12-19 12:37:49,896 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:49,904 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr/negotiate'
INFO  2019-12-19 12:37:49,909 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 30.1183ms 200 application/json
DEBUG 2019-12-19 12:37:49,923 [4    ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
INFO  2019-12-19 12:37:50,038 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/signalr?id=qcJdD6X6IoM5SMofpxL3Bw  
INFO  2019-12-19 12:37:50,081 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr'
DEBUG 2019-12-19 12:37:50,104 [8    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is connected: {"ConnectionId":"qcJdD6X6IoM5SMofpxL3Bw","IpAddress":"::1","TenantId":null,"UserId":1,"ConnectTime":"2019-12-19T12:37:50.1033594+05:30","Properties":{}}
DEBUG 2019-12-19 12:37:50,106 [8    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is registered: qcJdD6X6IoM5SMofpxL3Bw
DEBUG 2019-12-19 12:37:54,937 [5    ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
INFO  2019-12-19 12:37:57,442 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Product/GetProductById/2  
INFO  2019-12-19 12:37:57,460 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Shopping_Card.Web.Controllers.ProductController.GetProductById (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:57,472 [4    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetProductById", controller = "Product", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.JsonResult GetProductById(Int32) on controller Shopping_Card.Web.Controllers.ProductController (Shopping_Card.Web.Mvc).
DEBUG 2019-12-19 12:37:57,542 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Product, Id:2
INFO  2019-12-19 12:37:57,572 [8    ] tonsoftJson.NewtonsoftJsonResultExecutor - Executing JsonResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2019-12-19 12:37:57,608 [8    ] c.Infrastructure.ControllerActionInvoker - Executed action Shopping_Card.Web.Controllers.ProductController.GetProductById (Shopping_Card.Web.Mvc) in 132.0689ms
INFO  2019-12-19 12:37:57,613 [8    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Shopping_Card.Web.Controllers.ProductController.GetProductById (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:57,622 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 176.4973ms 200 application/json; charset=utf-8
DEBUG 2019-12-19 12:37:59,958 [5    ] HttpRequestEntityChangeSetReasonProvider - Unable to get URL from HttpRequest, fallback to null
INFO  2019-12-19 12:38:02,643 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Order/GetAllOrders  
INFO  2019-12-19 12:38:02,671 [8    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Shopping_Card.Web.Controllers.OrderController.GetAllOrders (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:38:02,680 [8    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetAllOrders", controller = "Order", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetAllOrders() on controller Shopping_Card.Web.Controllers.OrderController (Shopping_Card.Web.Mvc).
DEBUG 2019-12-19 12:38:02,759 [8    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Order, Id:24
DEBUG 2019-12-19 12:38:02,760 [8    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Order, Id:25
DEBUG 2019-12-19 12:38:02,760 [8    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Order, Id:26
DEBUG 2019-12-19 12:38:02,760 [8    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Entities.Order, Id:27
INFO  2019-12-19 12:38:02,782 [4    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view GetAllOrders.
DEBUG 2019-12-19 12:38:02,830 [5    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Authorization.Users.User, Id:1
WARN  2019-12-19 12:38:02,843 [5    ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:38:02,844 [5    ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:38:02,880 [5    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view GetAllOrders executed in 94.9305ms.
DEBUG 2019-12-19 12:38:02,891 [24   ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is disconnected: qcJdD6X6IoM5SMofpxL3Bw
INFO  2019-12-19 12:38:02,894 [5    ] c.Infrastructure.ControllerActionInvoker - Executed action Shopping_Card.Web.Controllers.OrderController.GetAllOrders (Shopping_Card.Web.Mvc) in 200.2165ms
INFO  2019-12-19 12:38:02,896 [24   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr'
INFO  2019-12-19 12:38:02,906 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Shopping_Card.Web.Controllers.OrderController.GetAllOrders (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:38:02,920 [24   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 12922.3881ms 101 
INFO  2019-12-19 12:38:02,927 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 285.8222ms 200 text/html; charset=utf-8
INFO  2019-12-19 12:38:02,993 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637123558208728427  
INFO  2019-12-19 12:38:02,995 [25   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:38:03,011 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:38:03,016 [25   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 22.0698ms 404 
INFO  2019-12-19 12:38:03,027 [5    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ContentResult GetAll(Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) on controller Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController (Abp.AspNetCore).
INFO  2019-12-19 12:38:03,035 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637123558208728427  
INFO  2019-12-19 12:38:03,044 [5    ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2019-12-19 12:38:03,051 [5    ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 17.2603ms
INFO  2019-12-19 12:38:03,058 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:38:03,063 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 74.7906ms 200 application/x-javascript
INFO  2019-12-19 12:38:03,078 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:38:03,089 [4    ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetScripts(System.String, Boolean) on controller Abp.AspNetCore.Mvc.Controllers.AbpScriptsController (Abp.AspNetCore).
WARN  2019-12-19 12:38:03,115 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:38:03,116 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:38:03,149 [4    ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2019-12-19 12:38:03,155 [4    ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 60.4067ms
INFO  2019-12-19 12:38:03,161 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:38:03,166 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 133.7746ms 200 application/x-javascript; charset=utf-8
INFO  2019-12-19 12:38:03,212 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:38:03,265 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 37.1127ms 404 
INFO  2019-12-19 12:38:03,305 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 POST http://localhost:62114/signalr/negotiate text/plain;charset=UTF-8 0
INFO  2019-12-19 12:38:03,356 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint '/signalr/negotiate'
INFO  2019-12-19 12:38:03,373 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr/negotiate'
INFO  2019-12-19 12:38:03,385 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 109.2969ms 200 application/json
